#sequence	key	text
1	heading	Ideas
1	subheading	THE VISION
1	item1	A kinder, fairer, more sustainable world.
1	item2	Rooted in shared human values.
1	item3	Informed by wisdom, experience and imagination.
1	below	Ideas give direction. JUSTBRThey show us what is possible.
1	example	A shared charter for human flourishing (DAWN 15 principles).
2	heading	Action
2	subheading	TURN IDEAS INTO REAL STEPS
2	item1	Start with achievable, local projects.
2	item2	Use practical tools and open systems.
2	item3	Create safe spaces for participation.
2	below	Action turns possibility into reality.
2	example	Community garden, skills-sharing and local sustainability project.
3	heading	People
3	subheading	REAL CHANGE / REAL PEOPLE
3	item1	Bring together people who care.
3	item2	Build a diverse, inclusive community.
3	item3	Encourage collaboration, not competition.
3	below	People create the energy that sustains change.
3	example	Families, youth, and community members working on shared goals.
4	heading	Evidence
4	subheading	SHOW WHAT WORKS
4	item1	Measure impact (social, environmental, economic).
4	item2	Share stories and real-life examples.
4	item3	Be honest about challenges and lessons.
4	below	Evidence turns hope into confidence.
4	example	Track improvements in well-being, carbon footprint, community cohesion.
5	heading	Replication
5	subheading	FROM ONE PLACE TO MANY
5	item1	Document the model.
5	item2	Make it easy for others to adopt.
5	item3	Support new groups and communities.
5	below	What works can grow.
5	example	Open-source guides, mentoring and peer-to-peer support.
6	heading	New Social Norms
6	subheading	ONCE UNUSUAL NOW NORMAL
6	item1	New behaviours become common.
6	item2	Communities and institutions adopt the change.
6	item3	Policy, business and culture evolve.
6	below	When it becomes normal, it becomes unstoppable.
6	example	Sustainable, inclusive and peaceful practices in everyday life and governance.
